variable,iso,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08
info_risk_index,SOL,0.327,0.097,0.212,0.120,0.150,0.097,0.283,0.182
info_risk_index,SOM,0.211,0.128,0.160,0.117,0.148,0.132,0.157,0.316
info_risk_index,SPM,0.105,0.194,0.176,0.227,0.116,0.062,0.203,0.000
info_risk_index,SRB,0.234,0.219,0.262,0.265,0.232,0.250,0.241,0.188
info_risk_index,STP,0.532,0.129,0.430,0.383,0.455,0.469,0.751,0.000
info_risk_index,SUR,0.225,0.252,0.205,0.255,0.131,0.145,0.143,0.142
info_risk_index,SVK,0.220,0.195,0.217,0.175,0.194,0.132,0.265,0.256
info_risk_index,SVN,0.453,0.265,0.272,0.250,0.266,0.200,0.238,0.320
info_risk_index,SWE,0.453,0.372,0.333,0.269,0.280,0.325,0.302,0.382
info_risk_index,SWZ,0.370,0.197,0.158,0.162,0.125,0.245,0.319,0.454
info_risk_index,SXM,0.218,0.148,0.218,0.138,0.165,0.142,0.498,0.342
info_risk_index,SYC,0.584,0.348,0.417,0.409,0.363,0.319,0.325,0.351
info_risk_index,SYR,0.207,0.119,0.263,0.165,0.181,0.241,0.147,0.204
info_risk_index,TCA,,0.500,0.000,,0.000,,0.000,
info_risk_index,TCD,0.252,0.219,0.214,0.133,0.297,0.143,0.194,0.235
info_risk_index,TGO,0.349,0.314,0.474,0.260,0.260,0.144,0.349,0.416
info_risk_index,THA,0.126,0.066,0.065,0.056,0.071,0.075,0.163,0.259
info_risk_index,TJK,0.115,0.252,0.188,0.222,0.159,0.231,0.237,0.352
info_risk_index,TKM,0.025,0.132,0.137,0.286,0.177,0.144,0.173,0.072
info_risk_index,TLS,0.034,0.100,0.127,0.052,0.046,0.089,0.081,0.222
info_risk_index,TON,0.253,0.186,0.400,0.283,0.430,0.231,0.299,0.533
info_risk_index,TTO,0.228,0.172,0.248,0.199,0.201,0.136,0.193,0.265
info_risk_index,TUN,0.461,0.255,0.352,0.428,0.347,0.305,0.405,0.335
info_risk_index,TUR,0.273,0.212,0.206,0.174,0.183,0.151,0.196,0.150
info_risk_index,TUV,,,,,0.000,0.000,,
info_risk_index,TWN,0.276,0.229,0.451,0.449,0.442,0.385,0.441,0.522
info_risk_index,TZA,0.260,0.072,0.102,0.077,0.079,0.251,0.250,0.297
info_risk_index,UGA,0.229,0.143,0.158,0.192,0.190,0.176,0.177,0.202
info_risk_index,UKR,0.180,0.195,0.161,0.174,0.129,0.099,0.152,0.168
info_risk_index,UMI,0.545,0.556,0.444,0.580,0.508,0.358,0.390,0.441
info_risk_index,URY,0.321,0.268,0.194,0.196,0.141,0.157,0.113,0.117
info_risk_index,USA,0.177,0.242,0.230,0.270,0.276,0.262,0.274,0.273
info_risk_index,USG,0.000,1.000,,1.000,1.000,0.500,,0.000
info_risk_index,UZB,0.280,0.134,0.175,0.305,0.289,0.339,0.298,0.123
info_risk_index,VAT,,,,,,,,
info_risk_index,VCT,0.626,0.281,0.410,0.432,0.439,0.337,0.375,0.375
info_risk_index,VEN,0.819,0.858,0.881,0.765,0.734,0.751,0.850,0.861
