date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_risk_index,info_risk_index_T,info_risk_index_RE,info_risk_index_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new
2020-06-12,LVA,574,175,19,380,193,13,9,87,0.4091,13,69,0,13,0,0,9,0,0,,,,,,,,,1094.0,2.0,26.0,0.0,124662.0,1298.0
2020-06-13,LVA,620,218,36,366,218,12,7,121,0.3684,14,102,1,11,0,0,6,0,1,,,,,,,,,1096.0,2.0,27.0,1.0,126054.0,1392.0
2020-06-14,LVA,631,175,40,416,188,26,3,95,0.1034,23,72,1,25,0,0,2,0,1,,,,,,,,,1097.0,1.0,28.0,1.0,127450.0,1396.0
2020-06-15,LVA,636,189,40,407,207,14,3,145,0.1765,27,114,0,14,0,0,2,1,0,,,,,,,,,1097.0,0.0,28.0,0.0,128145.0,695.0
2020-06-16,LVA,697,270,41,386,230,39,2,206,0.0488,72,131,0,39,0,0,2,0,0,,,,,,,,,1097.0,0.0,28.0,0.0,129836.0,1691.0
2020-06-17,LVA,656,237,29,390,211,38,7,161,0.1556,41,117,1,37,0,0,6,0,1,,,,,,,,,1098.0,1.0,28.0,0.0,131646.0,1810.0
2020-06-18,LVA,681,233,37,411,260,34,3,137,0.0811,29,108,0,34,0,0,3,0,0,,,,,,,,,1104.0,6.0,30.0,2.0,133557.0,1911.0
2020-06-19,LVA,629,221,45,363,225,34,4,130,0.1053,21,106,0,34,0,0,3,0,1,,,,,,,,,1108.0,4.0,30.0,0.0,134881.0,1324.0
2020-06-20,LVA,677,229,31,417,186,32,9,144,0.2195,31,113,2,30,0,0,5,1,3,,,,,,,,,1110.0,2.0,30.0,0.0,136567.0,1686.0
2020-06-21,LVA,566,163,33,370,159,22,5,100,0.1852,17,79,3,19,0,0,5,0,0,,,,,,,,,1111.0,1.0,30.0,0.0,137861.0,1294.0
