date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_risk_index,info_risk_index_T,info_risk_index_RE,info_risk_index_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new
2020-05-08,YEM,350,77,8,265,44,17,1,36,0.0556,18,17,0,17,0,0,1,0,0,,,,,,,,,26.0,1.0,6.0,1.0,,
2020-05-09,YEM,303,74,19,210,22,5,8,38,0.6154,7,27,0,5,0,0,5,3,0,,,,,,,,,34.0,8.0,7.0,1.0,,
2020-05-10,YEM,360,83,14,263,47,11,5,28,0.3125,11,13,0,11,0,0,5,0,0,,,,,,,,,34.0,0.0,7.0,0.0,,
2020-05-11,YEM,434,87,10,337,29,11,10,38,0.4762,18,18,0,11,0,0,8,2,0,,,,,,,,,51.0,17.0,8.0,1.0,,
2020-05-12,YEM,340,68,11,261,31,8,3,38,0.2727,14,20,0,8,0,0,3,0,0,,,,,,,,,56.0,5.0,9.0,1.0,,
2020-05-13,YEM,347,68,17,262,36,11,5,43,0.3125,16,23,1,10,0,3,2,0,0,,,,,,,,,67.0,11.0,11.0,2.0,,
2020-05-14,YEM,297,56,13,228,25,13,3,49,0.1875,26,23,0,13,0,0,1,2,0,,,,,,,,,70.0,3.0,12.0,1.0,,
2020-05-15,YEM,407,105,20,282,46,11,6,54,0.3529,29,22,1,10,0,1,4,1,0,,,,,,,,,87.0,17.0,13.0,1.0,,
2020-05-16,YEM,430,98,41,291,61,18,9,52,0.3333,24,28,2,16,0,1,8,0,0,,,,,,,,,106.0,19.0,15.0,2.0,,
2020-05-17,YEM,407,76,16,315,53,15,5,47,0.25,25,22,0,15,0,0,5,0,0,,,,,,,,,124.0,18.0,19.0,4.0,,
2020-05-18,YEM,492,113,31,348,46,21,2,41,0.087,16,24,0,21,0,0,1,1,0,,,,,,,,,128.0,4.0,20.0,1.0,,
2020-05-19,YEM,344,79,23,242,29,14,6,52,0.3,29,21,0,14,0,0,5,1,0,,,,,,,,,130.0,2.0,20.0,0.0,,
2020-05-20,YEM,372,96,39,237,37,8,5,40,0.3846,19,16,0,8,0,0,4,1,0,,,,,,,,,167.0,37.0,28.0,8.0,,
2020-05-21,YEM,471,120,35,316,47,14,4,57,0.2222,31,26,0,14,0,1,3,0,0,,,,,,,,,180.0,13.0,29.0,1.0,,
2020-05-22,YEM,374,90,23,261,41,8,5,39,0.3846,16,18,0,8,0,0,4,1,0,,,,,,,,,193.0,13.0,33.0,4.0,,
2020-05-23,YEM,375,64,18,293,43,7,5,39,0.4167,24,11,0,7,0,1,3,1,0,,,,,,,,,205.0,12.0,33.0,0.0,,
2020-05-24,YEM,356,56,29,271,18,5,4,31,0.4444,15,16,0,5,0,0,4,0,0,,,,,,,,,212.0,7.0,39.0,6.0,,
2020-05-25,YEM,359,72,19,268,13,10,6,47,0.375,27,18,0,10,0,0,5,0,1,,,,,,,,,222.0,10.0,42.0,3.0,,
2020-05-26,YEM,379,83,18,278,41,13,5,45,0.2778,19,25,0,13,0,0,4,1,0,,,,,,,,,237.0,15.0,45.0,3.0,,
2020-05-27,YEM,353,92,18,243,51,8,4,44,0.3333,11,31,2,6,0,0,2,1,1,,,,,,,,,249.0,12.0,49.0,4.0,,
2020-05-28,YEM,402,105,19,278,39,11,3,49,0.2143,17,30,2,9,0,0,2,0,1,,,,,,,,,255.0,6.0,53.0,4.0,,
2020-05-29,YEM,413,105,21,287,36,22,5,38,0.1852,17,18,3,19,0,0,5,0,0,,,,,,,,,278.0,23.0,57.0,4.0,,
2020-05-30,YEM,428,66,26,336,28,6,8,25,0.5714,12,11,1,5,0,0,5,2,1,,,,,,,,,287.0,9.0,66.0,9.0,,
2020-05-31,YEM,2206,741,55,1410,38,16,8,106,0.3333,12,92,0,16,0,0,4,4,0,0.6388,0.9101,1.0,0.2824,0.4545,1.0,0.3333,,310.0,23.0,77.0,11.0,,
2020-06-01,YEM,683,115,26,542,49,7,1,46,0.125,16,27,0,7,0,0,1,0,0,,,,,,,,,323.0,13.0,80.0,3.0,,
2020-06-02,YEM,573,109,27,437,28,14,8,46,0.3636,23,20,1,13,0,0,8,0,0,,,,,,,,,354.0,31.0,84.0,4.0,,
2020-06-03,YEM,455,91,17,347,32,10,4,41,0.2857,15,18,0,10,0,0,3,1,0,,,,,,,,,399.0,45.0,87.0,3.0,,
2020-06-04,YEM,409,57,20,332,40,6,4,27,0.4,14,12,0,6,0,0,1,2,1,,,,,,,,,403.0,4.0,88.0,1.0,,
2020-06-05,YEM,403,92,19,292,50,11,1,37,0.0833,23,13,0,11,0,0,1,0,0,,,,,,,,,453.0,50.0,103.0,15.0,,
2020-06-06,YEM,420,82,32,306,35,19,8,35,0.2963,13,22,0,19,0,0,7,1,0,,,,,,,,,469.0,16.0,111.0,8.0,,
2020-06-07,YEM,460,80,15,365,27,20,6,46,0.2308,17,26,0,20,0,1,4,1,0,,,,,,,,,473.0,4.0,112.0,1.0,,
2020-06-08,YEM,370,90,24,256,41,15,4,36,0.2105,5,26,0,15,0,0,3,1,0,,,,,,,,,486.0,13.0,112.0,0.0,,
2020-06-09,YEM,417,99,26,292,58,11,2,25,0.1538,2,21,1,10,0,0,2,0,0,,,,,,,,,496.0,10.0,112.0,0.0,,
