iso,datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
SOM,2020-03-22,512,12,4,54,37110,5011,213636,0.11897,11,221,2,278,0.15925,5.50377,4.21236,5.59669,,,,,,1,0,0,
SPM,2020-03-22,34,0,0,1,0,0,2627,0,0,17,0,17,-0.03135,5.58427,4.54615,5.63021,,,,,,,,,
SRB,2020-03-22,1643,52,23,198,146167,57545,1408055,0.28248,25,646,1,971,-0.00566,5.36029,4.28801,5.43201,-0.02184,-0.0476,-0.02495,0.05449,-0.01294,222,1,2,
STP,2020-03-22,382,8,16,16,54960,77266,12616,0.58435,0,168,0,214,-0.06367,5.34697,4.37754,5.32664,-0.04609,-0.04877,-0.05934,0.04736,-0.05146,,,,
SUR,2020-03-22,144,5,0,13,3893,0,25431,0,0,46,0,98,0.07996,5.38788,4.34045,5.44428,,,,,,5,0,0,
SVK,2020-03-22,613,26,4,51,43226,2985,230696,0.0646,14,229,4,365,0.04369,5.38411,4.24675,5.48643,0.03327,-0.04022,0.03646,-0.0122,0.04879,185,7,1,
SVN,2020-03-22,1744,57,18,89,94386,62161,106301,0.39708,14,676,3,1049,0.00133,5.35815,4.25317,5.42956,0.03327,0.00447,0.04448,0.01312,0.04661,414,0,2,
SWE,2020-03-22,19330,606,215,2072,8665482,825337,78038916,0.08696,264,7931,79,11056,0.10081,5.39516,4.26242,5.4655,-0.01775,-0.0372,-0.02628,0.05899,-0.01786,1934,16,21,
SWZ,2020-03-22,207,6,0,8,6811,0,7384,0,1,67,1,138,0.1245,5.50883,4.23707,5.6153,,,,,,,,,
SXM,2020-03-22,37,2,0,9,4420,0,16766,0,0,23,0,14,-0.1232,5.42218,4.22181,5.09733,,,,,,,,,
SYC,2020-03-22,448,26,12,28,25845,34727,37574,0.57332,0,195,0,253,-0.09192,5.33135,4.28225,5.32998,,,,,,7,0,0,
SYR,2020-03-22,591,13,10,47,232716,28605,3060336,0.10946,44,217,16,314,-0.00744,5.33871,4.23857,5.37023,,,,,,1,0,0,
TCA,2020-03-22,,,,,,,,0,,,,,,,,,,,,,,,,,
TCD,2020-03-22,565,19,10,47,41721,18674,183603,0.3092,0,243,1,321,0.00283,5.33224,4.29462,5.35287,-0.00015,-0.03675,0.01503,0.01756,-0.01047,1,0,0,
TGO,2020-03-22,917,25,15,73,47421,36272,154861,0.43339,3,355,0,559,0.02746,5.45251,4.25542,5.55235,,,,,,16,1,0,
THA,2020-03-22,39639,616,175,1366,6117614,480082,43840367,0.07277,272,15456,75,23835,0.0058,5.38381,4.24771,5.4776,-0.03523,-0.04599,-0.03071,0.05692,-0.05452,599,44,1,
TJK,2020-03-22,55,1,0,3,485,0,3049,0,0,16,0,39,0.27661,5.47308,4.14588,5.66078,,,,,,,,,
TKM,2020-03-22,130,3,0,8,2382,0,4367,0,0,48,0,82,0.0138,5.47168,4.19161,5.64528,,,,,,,,,
